name,area,wage,experience,frim,others
数据库工程师（DBA）,荔湾区,12k-18k,"12k-18k
                        经验3-5年 / 本科",名创优品miniso,移动互联网 / B轮 / 2000人以上
数据库治理工程师,珠江新城,10k-20k,"10k-20k
                        经验3-5年 / 本科",和宇健康科技股份有限公司,医疗丨健康 / 不需要融资 / 150-500人
数据挖掘工程师,岭南,15k-30k,"15k-30k
                        经验3-5年 / 不限",快乐种子,"教育,游戏 / B轮 / 2000人以上"
数据运营专员,天河区,5k-10k,"5k-10k
                        经验1-3年 / 本科",SuperADS,"移动互联网,广告营销 / A轮 / 50-150人"
大数据开发工程师,天河公园,12k-20k,"12k-20k
                        经验1-3年 / 本科",广州汇智通信技术有限公司,信息安全 / 不需要融资 / 500-2000人
数据推广主管（天猫）,沙河,10k-15k,"10k-15k
                        经验1-3年 / 大专",卡姿兰集团,其他 / 未融资 / 500-2000人
高级大数据开发工程师,客村,15k-30k,"15k-30k
                        经验3-5年 / 本科",悦谦科技,移动互联网 / 不需要融资 / 50-150人
数据挖掘算法工程师,越秀区,8k-15k,"8k-15k
                        经验不限 / 硕士",广东智源,"移动互联网,企业服务 / 不需要融资 / 50-150人"
数据仓库开发工程师,黄埔区,10k-20k,"10k-20k
                        经验1-3年 / 大专",新娱加传媒,文娱丨内容 / C轮 / 150-500人
数据治理工程,东山口,6k-12k,"6k-12k
                        经验1-3年 / 本科",光点科技,"移动互联网,数据服务 / 未融资 / 50-150人"
资深数据开发工程师,天河区,25k-40k,"25k-40k
                        经验5-10年 / 本科",影子科技,"企业服务,数据服务 / 不需要融资 / 150-500人"
大数据开发工程师,天河区,15k-25k,"15k-25k
                        经验3-5年 / 本科",智牛数字科技,"数据服务,物联网 / C轮 / 500-2000人"
数据产品经理,东圃,15k-25k,"15k-25k
                        经验1-3年 / 本科",跨运达货运,其他 / A轮 / 50-150人
产品经理（偏数据方向）,黄埔区,15k-30k,"15k-30k
                        经验3-5年 / 本科",博依特,"企业服务,数据服务 / A轮 / 50-150人"
大数据开发工程师 （后端）,珠江新城,25k-41k,"25k-41k
                        经验5-10年 / 本科",富力地产,"移动互联网,电商 / 上市公司 / 2000人以上"
数据分析,大石,15k-25k,"15k-25k
                        经验3-5年 / 本科",逐鹿网络,软件开发 / 不需要融资 / 15-50人
JAVA大数据开发工程师,东风东,20k-23k,"20k-23k
                        经验5-10年 / 大专",carenet,"移动互联网,消费生活 / 未融资 / 150-500人"
数据运营,南洲,6k-10k,"6k-10k
                        经验应届毕业生 / 本科",西洋购,"移动互联网,电商 / 不需要融资 / 50-150人"
数据挖掘工程师,天河区,8k-13k,"8k-13k
                        经验不限 / 本科",合众财富,"金融,移动互联网 / 不需要融资 / 150-500人"
大数据开发工程师,珠江新城,18k-25k,"18k-25k
                        经验3-5年 / 本科",德勤,金融 / 不需要融资 / 2000人以上
数据工程师,天河区,11k-15k,"11k-15k
                        经验1-3年 / 本科",省联合电子,"移动互联网,信息安全 / 不需要融资 / 500-2000人"
Java开发及大数据架构工程师,天河区,8k-15k,"8k-15k
                        经验不限 / 本科",广东联通通信建设有限公司,其他 / 上市公司 / 150-500人
高级数据挖掘工程师,棠下,15k-30k,"15k-30k
                        经验3-5年 / 本科",3K游戏,"游戏,移动互联网 / 上市公司 / 150-500人"
数据分析总监,解放南,15k-30k,"15k-30k
                        经验5-10年 / 本科",大麦电商,"电商,企业服务 / 天使轮 / 150-500人"
数据库工程师/DBA,五山,15k-25k,"15k-25k
                        经验3-5年 / 本科",瑞云网络,"移动互联网,电商 / 不需要融资 / 50-150人"
大数据开发工程师-广州,江南大道,13k-20k,"13k-20k
                        经验3-5年 / 本科",中信网科,金融 / 不需要融资 / 500-2000人
数据仓库架构师 (MJ000536),天园,30k-50k,"30k-50k
                        经验5-10年 / 本科",荔枝,社交 / 上市公司 / 500-2000人
数据库管理员,天河区,8k-12k,"8k-12k
                        经验1-3年 / 大专",鼎捷软件,其他 / 上市公司 / 2000人以上
大数据项目经理,大沙,20k-30k,"20k-30k
                        经验3-5年 / 本科",云徙科技,"数据服务,移动互联网 / B轮 / 500-2000人"
数据开发工程师,大新,12k-17k,"12k-17k
                        经验3-5年 / 本科",广州城电,其他 / 上市公司 / 500-2000人
